s,C
Time,"CENTER_TEMP"
 1.6573442E+001, 7.8681404E+002
 1.6633606E+001, 5.6412229E+002
 1.6693771E+001, 2.7222800E+002
 1.6753935E+001, 2.7291582E+002
 1.6814099E+001, 6.2059255E+002
 1.6870716E+001, 6.8510373E+002
 1.6923785E+001, 8.0119931E+002
 1.6990122E+001, 8.3911989E+002
 1.7046862E+001, 8.2040909E+002
 1.7112949E+001, 7.8959728E+002
 1.7169965E+001, 6.4447045E+002
 1.7226981E+001, 6.1774160E+002
 1.7283997E+001, 7.1581468E+002
 1.7341014E+001, 7.0734882E+002
 1.7412284E+001, 7.5375560E+002
 1.7469300E+001, 6.4853017E+002
 1.7526316E+001, 4.6670374E+002
 1.7583333E+001, 4.7610833E+002
 1.7640349E+001, 6.8471867E+002
 1.7706895E+001, 8.2368233E+002
 1.7760148E+001, 7.6720108E+002
 1.7829885E+001, 7.7810607E+002
 1.7885674E+001, 6.7454950E+002
 1.7945648E+001, 6.5749849E+002
 1.8007016E+001, 7.5107614E+002
 1.8068384E+001, 7.6043514E+002
 1.8129752E+001, 8.0051766E+002
 1.8191121E+001, 8.2727010E+002
 1.8250671E+001, 8.4495509E+002
 1.8304766E+001, 8.7346558E+002
 1.8372385E+001, 8.2220609E+002
 1.8426480E+001, 7.7500529E+002
 1.8480576E+001, 7.9062458E+002
 1.8540080E+001, 8.1027427E+002
 1.8614462E+001, 7.9968581E+002
 1.8673966E+001, 7.1390129E+002
 1.8733471E+001, 7.3953207E+002
 1.8795951E+001, 7.4708137E+002
 1.8845043E+001, 7.5564233E+002
 1.8910498E+001, 7.4162419E+002
 1.8970351E+001, 4.1392202E+002
 1.9028336E+001, 3.2446086E+002
 1.9080742E+001, 5.4126087E+002
 1.9143656E+001, 7.1623148E+002
 1.9202177E+001, 6.1119442E+002
 1.9266551E+001, 3.9664742E+002
 1.9330925E+001, 2.7810299E+002
 1.9382424E+001, 2.2325897E+002
 1.9449373E+001, 1.9466049E+002
 1.9507438E+001, 2.6582016E+002
 1.9569751E+001, 4.3014695E+002
 1.9632065E+001, 6.4399283E+002
 1.9694379E+001, 7.3463225E+002
 1.9741114E+001, 7.6124585E+002
 1.9805227E+001, 5.9508470E+002
 1.9869339E+001, 3.7413052E+002
 1.9920629E+001, 3.1986434E+002
 1.9989870E+001, 3.9612332E+002
 2.0051931E+001, 5.6098479E+002
 2.0113992E+001, 6.9523766E+002
 2.0160538E+001, 7.5331603E+002
 2.0222598E+001, 7.9249651E+002
 2.0284659E+001, 8.4880632E+002
 2.0352291E+001, 8.4262898E+002
 2.0406396E+001, 7.9644650E+002
 2.0460501E+001, 7.1593368E+002
 2.0528133E+001, 4.5524305E+002
 2.0588993E+001, 4.7008878E+002
 2.0641501E+001, 5.7840463E+002
 2.0713698E+001, 5.8826515E+002
 2.0771456E+001, 5.1905722E+002
 2.0827592E+001, 4.0467012E+002
 2.0891683E+001, 5.3823116E+002
 2.0944237E+001, 7.7990457E+002
 2.1000636E+001, 8.3128047E+002
 2.1071135E+001, 8.4028390E+002
 2.1127535E+001, 7.5983555E+002
 2.1183934E+001, 8.3105941E+002
 2.1240334E+001, 8.5141984E+002
 2.1310833E+001, 8.2454767E+002
 2.1367232E+001, 6.9608882E+002
 2.1423632E+001, 4.9153888E+002
 2.1480031E+001, 5.2113306E+002
 2.1550531E+001, 4.7040527E+002
 2.1606930E+001, 4.4269040E+002
 2.1663329E+001, 6.5323488E+002
 2.1733829E+001, 6.3391781E+002
 2.1790228E+001, 4.4864262E+002
 2.1846628E+001, 4.7037431E+002
 2.1903027E+001, 7.7370597E+002
 2.1973526E+001, 8.0118965E+002
 2.2029926E+001, 6.5044199E+002
 2.2086325E+001, 4.8071613E+002
 2.2142725E+001, 3.2877263E+002
 2.2213224E+001, 2.3655824E+002
 2.2269623E+001, 2.8438619E+002
 2.2331663E+001, 4.5684550E+002
 2.2393702E+001, 6.0110938E+002
 2.2440232E+001, 7.2954449E+002
 2.2502271E+001, 7.6760761E+002
 2.2564310E+001, 6.7723357E+002
 2.2626350E+001, 5.6042290E+002
 2.2686787E+001, 5.2507642E+002
 2.2750754E+001, 2.9992938E+002
 2.2800814E+001, 1.6566783E+002
 2.2868395E+001, 1.8775264E+002
 2.2923461E+001, 2.7495805E+002
 2.2992293E+001, 1.9170941E+002
 2.3047359E+001, 1.4916067E+002
 2.3107931E+001, 1.6939326E+002
 2.3173046E+001, 2.7080925E+002
 2.3223018E+001, 5.4600499E+002
 2.3287645E+001, 7.5645484E+002
 2.3342950E+001, 7.3248833E+002
 2.3407944E+001, 6.2270871E+002
 2.3472938E+001, 4.6719220E+002
 2.3524934E+001, 4.1085538E+002
 2.3589928E+001, 6.0245259E+002
 2.3641923E+001, 6.5274715E+002
 2.3709517E+001, 3.9541391E+002
 2.3768141E+001, 4.2653355E+002
 2.3831055E+001, 6.9453713E+002
 2.3893970E+001, 8.3007422E+002
 2.3951677E+001, 8.3918063E+002
 2.4007650E+001, 7.2369141E+002
 2.4063622E+001, 5.9422507E+002
 2.4133587E+001, 6.0475003E+002
 2.4189559E+001, 7.6265296E+002
 2.4245532E+001, 8.2560823E+002
 2.4301504E+001, 8.2122430E+002
 2.4371469E+001, 8.4542708E+002
 2.4427442E+001, 7.1671455E+002
 2.4486212E+001, 3.9309683E+002
 2.4543509E+001, 2.9860205E+002
 2.4609823E+001, 3.3697727E+002
 2.4671951E+001, 5.5716196E+002
 2.4727150E+001, 7.5567469E+002
 2.4784977E+001, 6.7677000E+002
 2.4842804E+001, 6.2701925E+002
 2.4910716E+001, 6.5448435E+002
 2.4964013E+001, 6.2262447E+002
 2.5021210E+001, 7.4590588E+002
 2.5092707E+001, 7.6950146E+002
 2.5149904E+001, 7.4588197E+002
 2.5207101E+001, 6.9753434E+002
 2.5264298E+001, 5.9854292E+002
 2.5321495E+001, 4.7093202E+002
 2.5392991E+001, 3.8727594E+002
 2.5450188E+001, 5.4352915E+002
 2.5507386E+001, 7.2908271E+002
 2.5566013E+001, 7.8102824E+002
 2.5623100E+001, 8.3367106E+002
 2.5692031E+001, 4.6690771E+002
 2.5747175E+001, 2.7250301E+002
 2.5802320E+001, 4.0328369E+002
 2.5871250E+001, 7.6489995E+002
 2.5927774E+001, 8.2072321E+002
 2.5988432E+001, 7.6598037E+002
 2.6049091E+001, 8.4650508E+002
 2.6109750E+001, 8.5669653E+002
 2.6164303E+001, 8.6856930E+002
 2.6229950E+001, 7.8615839E+002
 2.6282468E+001, 5.7411203E+002
 2.6342762E+001, 4.5552207E+002
 2.6406032E+001, 4.6799994E+002
 2.6469303E+001, 5.9372298E+002
 2.6521184E+001, 7.0747858E+002
 2.6592174E+001, 8.0562196E+002
 2.6653419E+001, 8.4886769E+002
 2.6714665E+001, 8.7223429E+002
 2.6766842E+001, 8.7589452E+002
 2.6820323E+001, 7.2666336E+002
 2.6892066E+001, 7.9867808E+002
 2.6949460E+001, 8.3917820E+002
 2.7006854E+001, 8.3827896E+002
 2.7064248E+001, 8.6402941E+002
 2.7121643E+001, 8.4347552E+002
 2.7193386E+001, 8.3983511E+002
 2.7250780E+001, 8.1342908E+002
 2.7308174E+001, 6.6900081E+002
 2.7365569E+001, 6.2405384E+002
 2.7422963E+001, 4.7438949E+002
 2.7480357E+001, 4.8876970E+002
 2.7552100E+001, 6.4248607E+002
 2.7609494E+001, 5.9451077E+002
 2.7666889E+001, 6.8520133E+002
 2.7724283E+001, 8.0692877E+002
 2.7781677E+001, 8.0597079E+002
 2.7850546E+001, 5.9451287E+002
 2.7902193E+001, 5.5493408E+002
 2.7969334E+001, 6.6058083E+002
 2.8026145E+001, 7.4886168E+002
 2.8082957E+001, 7.2296626E+002
 2.8153971E+001, 6.7188525E+002
 2.8210783E+001, 6.2699026E+002
 2.8267594E+001, 4.8701031E+002
 2.8324406E+001, 4.2629067E+002
 2.8381217E+001, 4.4860747E+002
 2.8452231E+001, 5.6308299E+002
 2.8509043E+001, 5.0600438E+002
 2.8564334E+001, 2.9748518E+002
 2.8627749E+001, 2.8181208E+002
 2.8693700E+001, 6.2894160E+002
 2.8752295E+001, 6.7653543E+002
 2.8813680E+001, 5.6429880E+002
 2.8875065E+001, 6.1582648E+002
 2.8930821E+001, 6.4299461E+002
 2.8982862E+001, 5.9500746E+002
 2.9044622E+001, 7.3838551E+002
 2.9104548E+001, 7.7192184E+002
 2.9171966E+001, 8.2557986E+002
 2.9225901E+001, 8.6119571E+002
 2.9293320E+001, 8.8464262E+002
 2.9347255E+001, 8.6791003E+002
 2.9401190E+001, 8.1296639E+002
 2.9472654E+001, 6.3143196E+002
 2.9531982E+001, 4.9530203E+002
 2.9591311E+001, 4.1603242E+002
 2.9649036E+001, 3.6827572E+002
 2.9701953E+001, 3.1975395E+002
 2.9770745E+001, 2.6160829E+002
 2.9833319E+001, 3.3351611E+002
 2.9881340E+001, 5.1765772E+002
 2.9940329E+001, 5.7138105E+002
 3.0011964E+001, 7.0092414E+002
 3.0063898E+001, 3.2669064E+002
 3.0131592E+001, 1.5596566E+002
 3.0186750E+001, 1.7205389E+002
 3.0241908E+001, 3.2405668E+002
 3.0310855E+001, 6.3992783E+002
 3.0370150E+001, 7.5482569E+002
 3.0430823E+001, 6.0857541E+002
 3.0491497E+001, 3.2351226E+002
 3.0552171E+001, 2.7345699E+002
 3.0612844E+001, 4.5454824E+002
 3.0667355E+001, 5.2996030E+002
 3.0721866E+001, 5.5280913E+002
 3.0790004E+001, 7.1246774E+002
 3.0844514E+001, 7.9805170E+002
 3.0904476E+001, 7.6267768E+002
 3.0964438E+001, 7.9771176E+002
 3.1024400E+001, 7.7666367E+002
 3.1084361E+001, 7.0233107E+002
 3.1149810E+001, 6.5142967E+002
 3.1200269E+001, 6.0500157E+002
 3.1267126E+001, 6.2686448E+002
 3.1322631E+001, 7.0448535E+002
 3.1392011E+001, 7.4905743E+002
 3.1447516E+001, 7.8448560E+002
 3.1508570E+001, 8.0176971E+002
 3.1564644E+001, 6.6737607E+002
 3.1632661E+001, 3.7617059E+002
 3.1687074E+001, 4.1550214E+002
 3.1741487E+001, 5.0846318E+002
 3.1809504E+001, 4.3499778E+002
 3.1867998E+001, 3.2588981E+002
 3.1927853E+001, 4.2316836E+002
 3.1987708E+001, 6.5227043E+002
 3.2047562E+001, 7.8582038E+002
 3.2107417E+001, 7.9383070E+002
 3.2167272E+001, 7.9561239E+002
 3.2227126E+001, 6.0440520E+002
 3.2286981E+001, 3.8736928E+002
 3.2340588E+001, 4.4158839E+002
 3.2408858E+001, 7.0232153E+002
 3.2465535E+001, 6.7577205E+002
 3.2522213E+001, 7.8116124E+002
 3.2593059E+001, 7.5150024E+002
 3.2653987E+001, 7.1355612E+002
 3.2700746E+001, 8.3646102E+002
 3.2763090E+001, 7.2287206E+002
 3.2820655E+001, 3.6570413E+002
 3.2890619E+001, 3.0404949E+002
 3.2946590E+001, 3.8344334E+002
 3.3002561E+001, 5.9093515E+002
 3.3072525E+001, 5.4280728E+002
 3.3128496E+001, 5.4939405E+002
 3.3184467E+001, 6.1284807E+002
 3.3240438E+001, 5.1397298E+002
 3.3314600E+001, 5.1037622E+002
 3.3360776E+001, 5.0048444E+002
 3.3422344E+001, 4.1169045E+002
 3.3491842E+001, 3.4446423E+002
 3.3547029E+001, 3.1146224E+002
 3.3610601E+001, 3.6707956E+002
 3.3665273E+001, 5.5954905E+002
 3.3731527E+001, 6.2842267E+002
 3.3781336E+001, 6.4008936E+002
 3.3852160E+001, 6.4664059E+002
 3.3910958E+001, 6.7935779E+002
 3.3969756E+001, 7.3485638E+002
 3.4028554E+001, 7.0741157E+002
 3.4087352E+001, 8.1286713E+002
 3.4146150E+001, 7.3200061E+002
 3.4204948E+001, 4.2747609E+002
 3.4263746E+001, 3.1322293E+002
 3.4322544E+001, 4.4254997E+002
 3.4381342E+001, 6.7880575E+002
 3.4440140E+001, 5.6959635E+002
 3.4507368E+001, 3.4642178E+002
 3.4565369E+001, 4.1700866E+002
 3.4623370E+001, 6.2281933E+002
 3.4681371E+001, 7.6462576E+002
 3.4753873E+001, 7.0045710E+002
 3.4811874E+001, 3.4169147E+002
 3.4869875E+001, 1.5089714E+002
 3.4927876E+001, 1.1610231E+002
 3.4984334E+001, 1.1587557E+002
 3.5049119E+001, 1.2482975E+002
 3.5103538E+001, 1.5507842E+002
 3.5160549E+001, 2.3271876E+002
 3.5234663E+001, 5.4515869E+002
 3.5281697E+001, 5.8566527E+002
 3.5344410E+001, 5.8037728E+002
 3.5407122E+001, 6.3005839E+002
 3.5469834E+001, 7.6158628E+002
 3.5532546E+001, 5.5649273E+002
 3.5595258E+001, 3.2899680E+002
 3.5642292E+001, 5.2220612E+002
 3.5705004E+001, 5.5887471E+002
 3.5767716E+001, 5.0253278E+002
 3.5830428E+001, 6.3035947E+002
 3.5893140E+001, 6.1355474E+002
 3.5950177E+001, 6.3917118E+002
 3.6008079E+001, 3.1464451E+002
 3.6063661E+001, 1.9610922E+002
 3.6131022E+001, 3.1558080E+002
 3.6184912E+001, 4.4180556E+002
 3.6252274E+001, 5.8495622E+002
 3.6311552E+001, 7.5082247E+002
 3.6370831E+001, 7.7992810E+002
 3.6430109E+001, 6.9616454E+002
 3.6485739E+001, 5.7348958E+002
 3.6540319E+001, 5.0054800E+002
 3.6611792E+001, 4.6695319E+002
 3.6668971E+001, 4.7976982E+002
 3.6726150E+001, 5.8557921E+002
 3.6783328E+001, 4.4494260E+002
 3.6840507E+001, 2.9057477E+002
 3.6900545E+001, 2.9908424E+002
 3.6963442E+001, 2.4116132E+002
 3.7026338E+001, 3.6823390E+002
 3.7085828E+001, 6.6919600E+002
