s,C
Time,"T air 1"
 1.8731113E+001, 3.0502248E+002
 1.8789366E+001, 3.0107971E+002
 1.8842408E+001, 2.8980665E+002
 1.8912952E+001, 2.8103329E+002
 1.8969388E+001, 2.8263891E+002
 1.9027234E+001, 2.9118004E+002
 1.9086980E+001, 2.9780321E+002
 1.9152912E+001, 3.0092857E+002
 1.9208295E+001, 3.0757834E+002
 1.9266315E+001, 3.1430805E+002
 1.9324335E+001, 3.1824535E+002
 1.9382355E+001, 3.2082814E+002
 1.9440375E+001, 3.2274623E+002
 1.9512900E+001, 3.2141568E+002
 1.9575271E+001, 3.2031788E+002
 1.9623138E+001, 3.2004710E+002
 1.9686960E+001, 3.1704008E+002
 1.9750782E+001, 3.1223692E+002
 1.9805580E+001, 3.0952195E+002
 1.9863118E+001, 3.0797929E+002
 1.9930898E+001, 3.0686576E+002
 1.9985122E+001, 3.0653154E+002
 2.0052902E+001, 3.0379428E+002
 2.0107126E+001, 2.9440021E+002
 2.0161351E+001, 2.9874868E+002
 2.0229131E+001, 3.0970827E+002
 2.0283355E+001, 3.1396520E+002
 2.0351135E+001, 3.2242356E+002
 2.0405360E+001, 3.5584851E+002
 2.0473140E+001, 3.6162563E+002
 2.0527364E+001, 3.4719275E+002
 2.0581588E+001, 3.2738634E+002
 2.0649368E+001, 3.1446396E+002
 2.0703593E+001, 3.2158094E+002
 2.0771373E+001, 3.3664439E+002
 2.0825597E+001, 3.4684574E+002
 2.0893377E+001, 3.5037960E+002
 2.0947601E+001, 3.4703623E+002
 2.1005892E+001, 3.3721821E+002
 2.1065539E+001, 3.2533423E+002
 2.1125186E+001, 3.1327746E+002
 2.1184832E+001, 3.0719315E+002
 2.1244479E+001, 3.0711588E+002
 2.1306187E+001, 3.0706018E+002
 2.1364281E+001, 3.0728790E+002
 2.1427313E+001, 3.1063435E+002
 2.1485891E+001, 3.1588791E+002
 2.1549155E+001, 3.2039596E+002
 2.1605859E+001, 3.2580672E+002
 2.1662562E+001, 3.2930990E+002
 2.1733442E+001, 3.2874990E+002
 2.1790145E+001, 3.2723354E+002
 2.1843988E+001, 3.2643981E+002
 2.1907716E+001, 3.2481208E+002
 2.1973993E+001, 3.2032503E+002
 2.2020260E+001, 3.1225535E+002
 2.2081949E+001, 3.0463276E+002
 2.2151617E+001, 2.9755534E+002
 2.2203382E+001, 2.9170699E+002
 2.2268088E+001, 2.8741871E+002
 2.2323735E+001, 2.8403375E+002
 2.2392054E+001, 2.8179806E+002
 2.2445842E+001, 2.8068280E+002
 2.2502190E+001, 2.8039041E+002
 2.2572626E+001, 2.8170624E+002
 2.2622537E+001, 2.8472953E+002
 2.2684925E+001, 2.9024418E+002
 2.2747313E+001, 3.0668114E+002
 2.2809701E+001, 3.5559879E+002
 2.2872089E+001, 4.1999027E+002
 2.2922000E+001, 4.3196086E+002
 2.2984388E+001, 4.3267992E+002
 2.3046776E+001, 4.5116727E+002
 2.3109164E+001, 4.3843492E+002
 2.3171553E+001, 3.9076570E+002
 2.3226454E+001, 3.5926102E+002
 2.3281356E+001, 3.5116737E+002
 2.3344964E+001, 3.5071756E+002
 2.3410453E+001, 3.4830919E+002
 2.3463814E+001, 3.4559332E+002
 2.3530515E+001, 3.4153606E+002
 2.3583877E+001, 3.3595614E+002
 2.3650578E+001, 3.2708183E+002
 2.3703939E+001, 3.1696921E+002
 2.3770641E+001, 3.1279999E+002
 2.3824002E+001, 3.1520555E+002
 2.3890703E+001, 3.1426203E+002
 2.3944065E+001, 3.0831721E+002
 2.4010766E+001, 3.0220481E+002
 2.4064127E+001, 2.9728125E+002
 2.4133497E+001, 2.9289023E+002
 2.4192194E+001, 2.8839209E+002
 2.4250891E+001, 2.8623353E+002
 2.4309589E+001, 2.8854249E+002
 2.4361266E+001, 3.1215994E+002
 2.4425862E+001, 3.3955896E+002
 2.4490458E+001, 3.5153224E+002
 2.4542135E+001, 3.5117451E+002
 2.4606731E+001, 3.3127731E+002
 2.4671327E+001, 3.0396557E+002
 2.4723004E+001, 2.9847247E+002
 2.4791476E+001, 2.9967918E+002
 2.4848321E+001, 3.0836644E+002
 2.4905165E+001, 3.1937585E+002
 2.4962010E+001, 3.2900133E+002
 2.5033066E+001, 3.4428851E+002
 2.5089910E+001, 3.7536851E+002
 2.5146755E+001, 4.0007675E+002
 2.5203600E+001, 4.2342241E+002
 2.5268589E+001, 4.4849424E+002
 2.5332062E+001, 4.4179579E+002
 2.5382841E+001, 4.4232881E+002
 2.5446314E+001, 4.4621038E+002
