s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS
 1.0807253E+001, 8.0135407E+002, 0.0000000E+000,-2.2590373E+002,-2.5647532E+002,-6.7602663E+001,-4.7592136E-002, 0.0000000E+000, 0.0000000E+000, 2.5248688E+002, 2.5132476E+002, 0.0000000E+000, 1.6186599E-002, 0.0000000E+000
 1.0862904E+001, 8.0400815E+002, 0.0000000E+000,-2.2499373E+002,-2.5729143E+002,-6.8679834E+001,-4.7533214E-002, 0.0000000E+000, 0.0000000E+000, 2.5532205E+002, 2.5299563E+002, 0.0000000E+000, 1.6186599E-002, 0.0000000E+000
 1.0929686E+001, 8.0805169E+002, 0.0000000E+000,-2.2490899E+002,-2.5657984E+002,-7.0550759E+001,-4.7462937E-002, 0.0000000E+000, 0.0000000E+000, 2.5804115E+002, 2.5596464E+002, 0.0000000E+000, 1.6186599E-002, 0.0000000E+000
 1.0985336E+001, 8.0943850E+002, 0.0000000E+000,-2.2562838E+002,-2.5429663E+002,-7.1301073E+001,-4.7522985E-002, 0.0000000E+000, 0.0000000E+000, 2.6177668E+002, 2.5816488E+002, 0.0000000E+000, 1.6186599E-002, 0.0000000E+000
 1.1040987E+001, 8.0403841E+002, 0.0000000E+000,-2.2392660E+002,-2.5245518E+002,-7.2400505E+001,-4.7516658E-002, 0.0000000E+000, 0.0000000E+000, 2.5802551E+002, 2.5520861E+002, 0.0000000E+000, 1.6186599E-002, 0.0000000E+000
 1.1106544E+001, 8.0532267E+002, 0.0000000E+000,-2.2468917E+002,-2.5034237E+002,-7.3537850E+001,-4.7615215E-002, 0.0000000E+000, 0.0000000E+000, 2.6088647E+002, 2.5670567E+002, 0.0000000E+000, 1.6186599E-002, 0.0000000E+000
 1.1165979E+001, 8.0219976E+002, 0.0000000E+000,-2.2390156E+002,-2.5012230E+002,-7.3747200E+001,-4.7615115E-002, 0.0000000E+000, 0.0000000E+000, 2.5867136E+002, 2.5438108E+002, 0.0000000E+000, 1.6186599E-002, 0.0000000E+000
 1.1226405E+001, 7.9794474E+002, 0.0000000E+000,-2.2517680E+002,-2.5170360E+002,-7.3807535E+001,-4.7544663E-002, 0.0000000E+000, 0.0000000E+000, 2.5321770E+002, 2.4720926E+002, 0.0000000E+000, 1.6186599E-002, 0.0000000E+000
 1.1280888E+001, 7.9402079E+002, 0.0000000E+000,-2.2719841E+002,-2.5195160E+002,-7.3270770E+001,-4.7643294E-002, 0.0000000E+000, 0.0000000E+000, 2.4509220E+002, 2.4155236E+002, 0.0000000E+000, 1.6186599E-002, 0.0000000E+000
 1.1346267E+001, 7.9077979E+002, 0.0000000E+000,-2.2518903E+002,-2.5237772E+002,-7.2874923E+001,-4.7891278E-002, 0.0000000E+000, 0.0000000E+000, 2.4436944E+002, 2.4029024E+002, 0.0000000E+000, 1.6186599E-002, 0.0000000E+000
 1.1400748E+001, 7.8200949E+002, 0.0000000E+000,-2.1930280E+002,-2.5719810E+002,-7.2633521E+001,-4.8011085E-002, 0.0000000E+000, 0.0000000E+000, 2.3553990E+002, 2.3282706E+002, 0.0000000E+000, 1.6186599E-002, 0.0000000E+000
 1.1466127E+001, 7.8161616E+002, 0.0000000E+000,-2.1339071E+002,-2.6431151E+002,-7.2575266E+001,-4.7959338E-002, 0.0000000E+000, 0.0000000E+000, 2.3493899E+002, 2.3129072E+002, 0.0000000E+000, 1.6186599E-002, 0.0000000E+000
 1.1520610E+001, 7.8427556E+002, 0.0000000E+000,-2.1193026E+002,-2.7155934E+002,-7.2021150E+001,-4.7989353E-002, 0.0000000E+000, 0.0000000E+000, 2.3124166E+002, 2.2871683E+002, 0.0000000E+000, 1.6186599E-002, 0.0000000E+000
 1.1585989E+001, 7.8180688E+002, 0.0000000E+000,-2.1322647E+002,-2.7883475E+002,-7.1706776E+001,-4.8119145E-002, 0.0000000E+000, 0.0000000E+000, 2.2175919E+002, 2.1799076E+002, 0.0000000E+000, 1.6186599E-002, 0.0000000E+000
 1.1640471E+001, 7.8165154E+002, 0.0000000E+000,-2.1425628E+002,-2.7993293E+002,-7.1481886E+001,-4.8118255E-002, 0.0000000E+000, 0.0000000E+000, 2.1833717E+002, 2.1593232E+002, 0.0000000E+000, 1.6186599E-002, 0.0000000E+000
 1.1705850E+001, 7.7062094E+002, 0.0000000E+000,-2.1756738E+002,-2.7630916E+002,-7.1968894E+001,-4.7879413E-002, 0.0000000E+000, 0.0000000E+000, 2.0771339E+002, 2.0472762E+002, 0.0000000E+000, 1.6186599E-002, 0.0000000E+000
 1.1763601E+001, 7.6842488E+002, 0.0000000E+000,-2.2050550E+002,-2.7599286E+002,-7.2427694E+001,-4.7782193E-002, 0.0000000E+000, 0.0000000E+000, 2.0357650E+002, 1.9945104E+002, 0.0000000E+000, 1.6186599E-002, 0.0000000E+000
 1.1823532E+001, 7.5702250E+002, 0.0000000E+000,-2.2057241E+002,-2.7871870E+002,-7.2765361E+001,-4.7804966E-002, 0.0000000E+000, 0.0000000E+000, 1.8745100E+002, 1.8491823E+002, 0.0000000E+000, 1.6186599E-002, 0.0000000E+000
 1.1883463E+001, 7.5221609E+002, 0.0000000E+000,-2.1999070E+002,-2.8310556E+002,-7.3427889E+001,-4.7896821E-002, 0.0000000E+000, 0.0000000E+000, 1.7873820E+002, 1.7564404E+002, 0.0000000E+000, 1.6186599E-002, 0.0000000E+000
 1.1943393E+001, 7.4855823E+002, 0.0000000E+000,-2.2149298E+002,-2.8779429E+002,-7.4197698E+001,-4.7795486E-002, 0.0000000E+000, 0.0000000E+000, 1.6910557E+002, 1.6502547E+002, 0.0000000E+000, 1.6186599E-002, 0.0000000E+000
 1.2006920E+001, 7.3703482E+002, 0.0000000E+000,-2.1982809E+002,-2.9288259E+002,-7.4203236E+001,-4.7708788E-002, 0.0000000E+000, 0.0000000E+000, 1.5525682E+002, 1.5007319E+002, 0.0000000E+000, 1.6186599E-002, 0.0000000E+000
