s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_METHANE,MLR_PRODUCTS,ZONE_1
 3.0605932E+001, 7.1152977E+002, 0.0000000E+000,-2.9536140E+002,-8.3173307E-002,-1.9108968E+002,-7.4337822E-002, 8.7093533E+001, 0.0000000E+000, 3.0800717E+002, 3.1201471E+002, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 7.5846330E+004
 3.0785646E+001, 7.4821728E+002, 0.0000000E+000,-3.0468387E+002,-8.2983763E-002,-1.8944144E+002,-7.4524746E-002, 9.8317372E+001, 0.0000000E+000, 3.5288835E+002, 3.5225184E+002, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 7.6141354E+004
 3.0965363E+001, 6.9900634E+002, 0.0000000E+000,-2.9633136E+002,-8.3188648E-002,-1.8933706E+002,-7.4245464E-002, 8.5625555E+001, 0.0000000E+000, 3.0040539E+002, 2.9880604E+002, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 7.6398967E+004
 3.1145077E+001, 6.9540411E+002, 0.0000000E+000,-2.9858089E+002,-8.4510366E-002,-1.8961298E+002,-7.4344989E-002, 8.0156673E+001, 0.0000000E+000, 2.8755986E+002, 2.8720806E+002, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 7.6639626E+004
 3.1324970E+001, 6.8930338E+002, 0.0000000E+000,-3.0205907E+002,-8.5092127E-002,-1.8985498E+002,-7.3487821E-002, 7.6773361E+001, 0.0000000E+000, 2.7525309E+002, 2.7400412E+002, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 7.6870407E+004
 3.1505753E+001, 6.6211874E+002, 0.0000000E+000,-2.9544332E+002,-8.3765251E-002,-1.9032823E+002,-7.3775120E-002, 6.8841219E+001, 0.0000000E+000, 2.4470486E+002, 2.4503087E+002, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 7.7078064E+004
 3.1688437E+001, 7.1851027E+002, 0.0000000E+000,-3.0679099E+002,-8.4176881E-002,-1.9227810E+002,-7.3994710E-002, 8.2138468E+001, 0.0000000E+000, 2.9782320E+002, 3.0142147E+002, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 7.7326671E+004
 3.1861475E+001, 7.2810886E+002, 0.0000000E+000,-3.1107117E+002,-8.3320932E-002,-1.9476115E+002,-7.4183622E-002, 8.6310993E+001, 0.0000000E+000, 3.0971994E+002, 3.0843003E+002, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 7.7576376E+004
 3.2044621E+001, 7.0802100E+002, 0.0000000E+000,-3.0479388E+002,-8.3269156E-002,-1.9650202E+002,-7.4602070E-002, 8.1340237E+001, 0.0000000E+000, 2.8903935E+002, 2.8790747E+002, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 7.7825312E+004
 3.2229465E+001, 6.7505743E+002, 0.0000000E+000,-3.0000626E+002,-8.3369480E-002,-1.9698433E+002,-7.4851982E-002, 7.1831356E+001, 0.0000000E+000, 2.5066160E+002, 2.4973997E+002, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 7.8047352E+004
 3.2407810E+001, 7.4368935E+002, 0.0000000E+000,-3.1299155E+002,-8.2055689E-002,-1.9611447E+002,-7.5402442E-002, 8.9944918E+001, 0.0000000E+000, 3.2021220E+002, 3.2437079E+002, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 7.8312744E+004
 3.2587799E+001, 7.0658073E+002, 0.0000000E+000,-3.0786775E+002,-8.1887599E-002,-1.9622600E+002,-7.4811032E-002, 8.1399446E+001, 0.0000000E+000, 2.8809044E+002, 2.8372972E+002, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 7.8559099E+004
 3.2767792E+001, 6.7993531E+002, 0.0000000E+000,-3.0323729E+002,-8.2326890E-002,-1.9576658E+002,-7.4520472E-002, 7.0786382E+001, 0.0000000E+000, 2.5040036E+002, 2.5156097E+002, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 7.8771102E+004
 3.2940182E+001, 6.8511734E+002, 0.0000000E+000,-3.0551944E+002,-8.4810512E-002,-1.9684102E+002,-7.4195897E-002, 7.2541539E+001, 0.0000000E+000, 2.5598725E+002, 2.5513942E+002, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 7.8980164E+004
 3.3128269E+001, 6.9347337E+002, 0.0000000E+000,-3.0867912E+002,-8.3800852E-002,-1.9732764E+002,-7.4645351E-002, 7.2146287E+001, 0.0000000E+000, 2.5824090E+002, 2.5945445E+002, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 7.9205927E+004
 3.3308983E+001, 7.1048394E+002, 0.0000000E+000,-3.0777431E+002,-8.2663690E-002,-1.9817325E+002,-7.4683495E-002, 8.0605076E+001, 0.0000000E+000, 2.8275773E+002, 2.8498411E+002, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 7.9447818E+004
 3.3485477E+001, 7.1651231E+002, 0.0000000E+000,-3.1314545E+002,-8.3763310E-002,-1.9783887E+002,-7.4982499E-002, 8.0130186E+001, 0.0000000E+000, 2.8797388E+002, 2.8549944E+002, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 7.9685080E+004
