s,C,mol/mol,mol/mol
Time,"TEMP_KITCHEN","O2_KITCHEN","CO_KITCHEN"
 3.6725457E+001, 9.6893562E+002, 9.9044576E-002, 1.4178365E-003
 3.6908195E+001, 9.6347386E+002, 1.0260959E-001, 1.3687115E-003
 3.7081677E+001, 8.3081639E+002, 1.2216064E-001, 1.1156478E-003
 3.7263560E+001, 6.1221227E+002, 1.4717089E-001, 7.8981014E-004
 3.7440824E+001, 5.1040020E+002, 1.5488949E-001, 6.8911126E-004
 3.7628722E+001, 3.7229285E+002, 1.6854774E-001, 5.1084077E-004
 3.7808957E+001, 4.5157314E+002, 1.5925374E-001, 6.3244348E-004
 3.7981655E+001, 4.4605965E+002, 1.5962214E-001, 6.2750626E-004
 3.8165148E+001, 1.0305923E+003, 8.5632982E-002, 1.5895928E-003
 3.8348640E+001, 9.2808004E+002, 1.0518024E-001, 1.3374450E-003
 3.8521338E+001, 6.8953479E+002, 1.3368312E-001, 9.6561372E-004
 3.8701882E+001, 4.2673637E+002, 1.6336346E-001, 5.7881956E-004
 3.8887740E+001, 3.0005322E+002, 1.7533822E-001, 4.2212191E-004
 3.9063331E+001, 2.7032959E+002, 1.7790897E-001, 3.8847641E-004
 3.9245313E+001, 5.7698042E+002, 1.4130485E-001, 8.6378218E-004
 3.9423433E+001, 1.0607790E+003, 8.2406557E-002, 1.6301549E-003
 3.9606461E+001, 9.2382897E+002, 1.0533680E-001, 1.3351530E-003
 3.9786928E+001, 4.8381926E+002, 1.5499141E-001, 6.8794620E-004
 3.9965107E+001, 3.8863410E+002, 1.6558823E-001, 5.4976856E-004
 4.0141852E+001, 2.9180950E+002, 1.7576876E-001, 4.1649271E-004
 4.0321912E+001, 6.2263268E+002, 1.3445670E-001, 9.5727883E-004
 4.0508788E+001, 1.1083946E+003, 6.7663258E-002, 1.8187794E-003
 4.0684416E+001, 6.1981775E+002, 1.4294627E-001, 8.4578244E-004
 4.0864116E+001, 4.1223830E+002, 1.6279892E-001, 5.8604068E-004
 4.1051749E+001, 3.1453159E+002, 1.7195520E-001, 4.6632614E-004
 4.1225248E+001, 3.5303021E+002, 1.6711922E-001, 5.2963150E-004
 4.1403659E+001, 4.7677159E+002, 1.5435689E-001, 6.9631662E-004
 4.1587804E+001, 6.4159049E+002, 1.3844997E-001, 9.0482148E-004
 4.1761426E+001, 4.5202650E+002, 1.5858454E-001, 6.4130820E-004
 4.1946623E+001, 3.6699436E+002, 1.6738484E-001, 5.2629042E-004
 4.2129784E+001, 3.0639245E+002, 1.7367735E-001, 4.4391596E-004
 4.2307856E+001, 3.1112625E+002, 1.7320590E-001, 4.5009320E-004
 4.2482469E+001, 2.9719419E+002, 1.7349961E-001, 4.4620831E-004
 4.2664159E+001, 4.5804549E+002, 1.5396747E-001, 7.0157824E-004
 4.2843332E+001, 4.9684112E+002, 1.5093810E-001, 7.4090188E-004
 4.3024281E+001, 4.7918590E+002, 1.5528915E-001, 6.8460497E-004
 4.3203197E+001, 2.8612407E+002, 1.7379916E-001, 4.4232926E-004
 4.3390282E+001, 7.1342007E+002, 1.1899291E-001, 1.1531751E-003
 4.3562562E+001, 6.3906431E+002, 1.3667783E-001, 9.2767749E-004
 4.3748874E+001, 3.3950383E+002, 1.6819319E-001, 5.1574022E-004
 4.3927769E+001, 2.7505710E+002, 1.7478091E-001, 4.2946691E-004
 4.4104898E+001, 3.0665831E+002, 1.7130603E-001, 4.7494580E-004
 4.4283880E+001, 7.4546514E+002, 1.2278614E-001, 1.1081210E-003
 4.4467308E+001, 4.1655476E+002, 1.6040913E-001, 6.1768272E-004
 4.4644154E+001, 3.9258763E+002, 1.6202248E-001, 5.9630796E-004
 4.4825452E+001, 3.5992761E+002, 1.6594045E-001, 5.4513162E-004
 4.5001733E+001, 3.1886241E+002, 1.7052484E-001, 4.8514918E-004
 4.5187807E+001, 2.8789884E+002, 1.7352649E-001, 4.4588970E-004
 4.5361150E+001, 2.7064337E+002, 1.7507330E-001, 4.2563628E-004
 4.5549673E+001, 3.8613373E+002, 1.6389696E-001, 5.7196691E-004
